3702	P42737	Q42577
3702	Q8VYU8	Q8VYU8
3702	Q8L7S9	P47998
3702	Q9FM69	Q9S744
3702	Q8GY79	Q9LTQ0
3702	P33077	P93024
3702	Q9FFS0	Q9FVX3
3702	Q8GWP0	A0A178VFA3
3702	Q9FHW7	Q8W420
3702	Q9SUE3	O82339
3702	Q9LXU1	Q94JL3
3702	Q9ZVX8	Q8LAA6
3702	Q8L617	Q9SJH7
3702	Q9FGZ5	P25854
3702	Q9LSE2	P59263
3702	Q93W88	Q9FGB0
3702	O82794	P29386
3702	P49597	Q9FGM1
3702	Q9LU64	O81632
3702	Q8LC03	Q9MAT3
3702	O23379	Q9LSH5
3702	Q9FKM7	Q38824
3702	O81788	Q9LQX5
3702	Q9M274	O04027
3702	Q8SAB7	Q5XPJ9
3702	Q9XF57	Q9FHR8
3702	P49678	P93830
3702	Q8LPJ0	Q94A79
3702	P61827	Q94JX1
3702	F4HVA6	Q6NQH4
3702	Q9FLM0	B3H506
3702	Q9STS3	Q8H1F1
3702	O22921	Q8LGD5
3702	F4K0Q7	Q9LV59
3702	Q9LIC6	Q9LUY6
3702	Q9LJW3	Q9SFV2
3702	P46312	Q94F58
3702	Q8LBP4	Q8LDI1
3702	Q9SV55	Q9S7M2
3702	Q8VZ42	O64687
3702	Q9SYQ8	P46014
3702	Q9STJ7	O04027
3702	Q8L7S9	Q8LEX1
3702	Q9M2Z5	Q9SL93
3702	Q8H174	Q8L7G0
3702	O82659	F4JAU2
3702	P29383	Q1PFC2
3702	Q67ZW1	Q9SYG2
3702	Q9SCP9	Q9SKI2
3702	O81788	Q9ZW36
3702	O65567	Q8W4M7
3702	Q852U6	Q8W5R5
3702	O23145	Q03509
3702	P42737	Q9SQT4
3702	Q6S7B0	Q6S7B0
3702	P46640	O65685
3702	Q8H2D1	A0A178WGB1
3702	Q9FK72	Q9STJ7
3702	F4J2J6	A0A178WA62
3702	Q8VZ95	Q9M9U3
3702	Q8GUI6	Q9SQX9
3702	F4JN35	P28186
3702	Q94JY4	Q6AWX6
3702	Q94F58	Q93ZW4
3702	Q9FFT2	Q94F58
3702	Q501D5	Q9LPD9
3702	O50055	Q9SID1
3702	Q38836	O22456
3702	Q96331	Q93ZC6
3702	F4IXJ7	Q6ID77
3702	O04326	Q93XX0
3702	F4JF33	F4HVA6
3702	Q9SK04	Q9FMM3
3702	Q6NMC6	Q9LP46
3702	Q9LW00	A0A178WA62
3702	Q2V359	O23320
3702	Q93V43	Q93V70
3702	Q8L9W4	Q9FNZ4
3702	O49048	Q9SEL6
3702	P53492	Q9ZSK2
3702	O80397	Q39026
3702	Q9SUJ1	Q9SGT7
3702	A0A178VFA3	Q9C7T4
3702	Q8LGU6	Q9C774
3702	F4JIJ7	Q9SFD5
3702	Q9FNY3	Q9SNB8
3702	Q8L7K9	Q8GW47
3702	Q5XEV6	P61837
3702	Q39057	Q8L7S3
3702	O23379	C0SUZ3
3702	Q9FFJ2	Q8VZW1
